sample_id,region_id,pixel_count,pair_cosine,cluster_with,cluster_no
14d8b49233574552ae43c6f49172ea16,0,22225,-0.02212838,1,6
14d8b49233574552ae43c6f49172ea16,1,275,-0.00609585,7,0
152db7f344954b7196402b92caa57e1c,0,21583,-0.03200183,1,6
152db7f344954b7196402b92caa57e1c,1,917,-0.08924297,5,6
15431766447f44178e7b96c3d56b9d41,0,21988,-0.04591777,1,5
15431766447f44178e7b96c3d56b9d41,1,512,0.01330170,0,6
15c4eff62cc644dc90c33f79b990aa8c,0,19558,-0.06551205,1,6
15c4eff62cc644dc90c33f79b990aa8c,1,2942,-0.06521119,4,6
160faaad600249d7ab8f95ee44648e6f,0,22288,-0.03291104,1,6
160faaad600249d7ab8f95ee44648e6f,1,212,0.11309077,3,0
16270c2e4ee142a69e9af1dfb1466867,0,21201,-0.03296414,1,6
16270c2e4ee142a69e9af1dfb1466867,1,1299,-0.04514245,6,0
1681134365dd40a898d032a3c3aa241c,0,20740,-0.03137425,1,6
1681134365dd40a898d032a3c3aa241c,1,1760,0.03695848,4,6
16ada52c6b734169879b2c296f5434d3,0,22125,-0.02930743,1,6
16ada52c6b734169879b2c296f5434d3,1,375,0.00362517,6,0
16b5e2757a4647ed97cd9f54f0c42e1c,0,21695,-0.03206917,1,6
16b5e2757a4647ed97cd9f54f0c42e1c,1,805,-0.02254421,6,6
1706522f269443fabab6ce98daf09d81,0,21258,-0.02548471,1,6
1706522f269443fabab6ce98daf09d81,1,1242,-0.07416894,6,6
170c222d8a514f258839c489fb48ff0f,0,20183,-0.01788184,1,5
170c222d8a514f258839c489fb48ff0f,1,2317,0.04557175,6,0
1734a670436946788e72ec8ce185957b,0,21745,-0.02476102,1,6
1734a670436946788e72ec8ce185957b,1,755,-0.06159781,7,6
178c06a23bbc4b0cb34a8708f48cf88c,0,21884,-0.03917824,1,6
178c06a23bbc4b0cb34a8708f48cf88c,1,616,-0.02014342,0,5
1794b5423be84d798ff953fff8307998,0,19654,-0.06476064,1,6
1794b5423be84d798ff953fff8307998,1,2846,-0.04299645,4,5
17d4c42103af4608a0d58cfbc2fbc849,0,21748,-0.03987127,1,6
17d4c42103af4608a0d58cfbc2fbc849,1,752,0.02016223,4,6
18039d7b1dc84a2fbb5efbaa84d66f6a,0,21701,-0.02017425,1,5
18039d7b1dc84a2fbb5efbaa84d66f6a,1,799,0.06559544,0,0
18165a3a72a2402fa154e2424769a7ee,0,21884,-0.02596922,1,6
18165a3a72a2402fa154e2424769a7ee,1,616,0.00418500,6,6
18cb702eec7543c9b7e3d951226e367d,0,22009,-0.04884985,1,5
18cb702eec7543c9b7e3d951226e367d,1,491,0.02475631,7,0
18e78a7dd0b04c8298a1a16c7bcc0493,0,22225,-0.02242696,1,6
18e78a7dd0b04c8298a1a16c7bcc0493,1,275,0.03778915,0,6
18f10858b2b1410f8485ffa35253033d,0,22224,-0.03142093,1,5
18f10858b2b1410f8485ffa35253033d,1,276,0.04658109,7,0
1963219c351f44e0b681cd17d63da72b,0,21656,-0.02938047,1,6
1963219c351f44e0b681cd17d63da72b,1,844,-0.00347645,0,6
1994ad9682bd4175b244af0be3e09417,0,22194,-0.00355162,1,6
1994ad9682bd4175b244af0be3e09417,1,306,-0.01494374,7,0
19eea651c57e43ebbade7c4b92a6e4da,0,21002,-0.04190574,1,6
19eea651c57e43ebbade7c4b92a6e4da,1,1498,-0.00080341,5,6
1a0f8e5b0cc248cd832716486455a257,0,22357,-0.02539062,1,6
1a0f8e5b0cc248cd832716486455a257,1,143,-0.02104505,3,0
1a4601bb2b674b819094ebb5ca797c61,0,21187,-0.03767943,1,6
1a4601bb2b674b819094ebb5ca797c61,1,1313,0.03374630,5,6
1aaff367ed174989b350fd40619b6f9a,0,21398,-0.02841526,1,6
1aaff367ed174989b350fd40619b6f9a,1,1102,-0.10262646,5,6
1afd654caa104e888ec4c74b60cb90ed,0,21585,-0.02922239,1,6
1afd654caa104e888ec4c74b60cb90ed,1,915,-0.06509913,6,6
